2024-08-08 09:43:15,528 INFO [root] [base.py (__init__:14] - 初始化driver
2024-08-08 09:43:15,532 INFO [root] [base.py (base_click:38] - 正在点击元素：('partial link text', '亲，请登录')
2024-08-08 09:43:15,532 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('partial link text', '亲，请登录')
2024-08-08 09:43:17,045 INFO [root] [base.py (base_input:52] - 正在查找元素：('id', 'fm-login-id')
2024-08-08 09:43:17,045 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('id', 'fm-login-id')
2024-08-08 09:43:17,052 INFO [root] [base.py (base_input:55] - 正在清空元素('id', 'fm-login-id')内容
2024-08-08 09:43:17,074 INFO [root] [base.py (base_input:58] - 元素('id', 'fm-login-id')正在输入内容：1323
2024-08-08 09:43:17,119 INFO [root] [base.py (base_input:52] - 正在查找元素：('id', 'fm-login-password')
2024-08-08 09:43:17,119 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('id', 'fm-login-password')
2024-08-08 09:43:17,125 INFO [root] [base.py (base_input:55] - 正在清空元素('id', 'fm-login-password')内容
2024-08-08 09:43:17,140 INFO [root] [base.py (base_input:58] - 元素('id', 'fm-login-password')正在输入内容：159258wssb@
2024-08-08 09:43:17,195 INFO [root] [base.py (base_click:38] - 正在点击元素：('css selector', '.fm-button.fm-submit.password-login')
2024-08-08 09:43:17,195 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('css selector', '.fm-button.fm-submit.password-login')
2024-08-08 09:43:21,366 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('css selector', '.login-error-msg')
2024-08-08 09:43:21,385 INFO [root] [base.py (base_input:52] - 正在查找元素：('id', 'fm-login-id')
2024-08-08 09:43:21,385 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('id', 'fm-login-id')
2024-08-08 09:43:21,388 INFO [root] [base.py (base_input:55] - 正在清空元素('id', 'fm-login-id')内容
2024-08-08 09:43:21,408 INFO [root] [base.py (base_input:58] - 元素('id', 'fm-login-id')正在输入内容：13822223333
2024-08-08 09:43:21,465 INFO [root] [base.py (base_input:52] - 正在查找元素：('id', 'fm-login-password')
2024-08-08 09:43:21,465 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('id', 'fm-login-password')
2024-08-08 09:43:21,472 INFO [root] [base.py (base_input:55] - 正在清空元素('id', 'fm-login-password')内容
2024-08-08 09:43:21,496 INFO [root] [base.py (base_input:58] - 元素('id', 'fm-login-password')正在输入内容：
2024-08-08 09:43:21,532 INFO [root] [base.py (base_click:38] - 正在点击元素：('css selector', '.fm-button.fm-submit.password-login')
2024-08-08 09:43:21,532 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('css selector', '.fm-button.fm-submit.password-login')
2024-08-08 09:43:21,678 INFO [root] [base.py (base_find_element:33] - 正在查找元素：('css selector', '.login-error-msg')
